Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
OD600,-1,145,0.040277778,H6,0.088,0.088,600,-1
OD600,-1,145,0.040277778,H7,0.089,0.089,600,-1
OD600,-1,145,0.040277778,H8,0.094,0.094,600,-1
OD600,-1,145,0.040277778,H9,0.088,0.088,600,-1
OD600,-1,145,0.040277778,H10,0.087,0.087,600,-1
OD600,-1,145,0.040277778,H11,0.091,0.091,600,-1
OD600,-1,145,0.040277778,H12,0.088,0.088,600,-1
OD600,-1,445,0.123611111,A1,0.098,0.098,600,-1
OD600,-1,445,0.123611111,A2,0.091,0.091,600,-1
OD600,-1,445,0.123611111,A3,0.088,0.088,600,-1
OD600,-1,445,0.123611111,A4,0.095,0.095,600,-1
OD600,-1,445,0.123611111,A5,0.089,0.089,600,-1
OD600,-1,445,0.123611111,A6,0.091,0.091,600,-1
OD600,-1,445,0.123611111,A7,0.096,0.096,600,-1
OD600,-1,445,0.123611111,A8,0.092,0.092,600,-1
OD600,-1,445,0.123611111,A9,0.091,0.091,600,-1
OD600,-1,445,0.123611111,A10,0.096,0.096,600,-1
OD600,-1,445,0.123611111,A11,0.09,0.09,600,-1
OD600,-1,445,0.123611111,A12,0.091,0.091,600,-1
OD600,-1,445,0.123611111,B1,0.101,0.101,600,-1
OD600,-1,445,0.123611111,B2,0.087,0.087,600,-1
OD600,-1,445,0.123611111,B3,0.089,0.089,600,-1
OD600,-1,445,0.123611111,B4,0.102,0.102,600,-1
OD600,-1,445,0.123611111,B5,0.087,0.087,600,-1
OD600,-1,445,0.123611111,B6,0.086,0.086,600,-1
OD600,-1,445,0.123611111,B7,0.099,0.099,600,-1
OD600,-1,445,0.123611111,B8,0.086,0.086,600,-1
OD600,-1,445,0.123611111,B9,0.088,0.088,600,-1
OD600,-1,445,0.123611111,B10,0.102,0.102,600,-1
OD600,-1,445,0.123611111,B11,0.088,0.088,600,-1
OD600,-1,445,0.123611111,B12,0.093,0.093,600,-1
OD600,-1,445,0.123611111,C1,0.099,0.099,600,-1
OD600,-1,445,0.123611111,C2,0.1,0.1,600,-1
OD600,-1,445,0.123611111,C3,0.086,0.086,600,-1
OD600,-1,445,0.123611111,C4,0.097,0.097,600,-1
OD600,-1,445,0.123611111,C5,0.097,0.097,600,-1
OD600,-1,445,0.123611111,C6,0.086,0.086,600,-1
OD600,-1,445,0.123611111,C7,0.099,0.099,600,-1
OD600,-1,445,0.123611111,C8,0.1,0.1,600,-1
OD600,-1,445,0.123611111,C9,0.09,0.09,600,-1
OD600,-1,445,0.123611111,C10,0.099,0.099,600,-1
OD600,-1,445,0.123611111,C11,0.101,0.101,600,-1
OD600,-1,445,0.123611111,C12,0.089,0.089,600,-1
OD600,-1,445,0.123611111,D1,0.093,0.093,600,-1
